Age,Pop,CNTRY,deaths,ax,MID,LOW,HIGH,meanval,upperval,lowerval,countmeanval,countupperval,countlowerval,perdist,width,mx_base,mx_low,mx_mid,mx_high,qx_base,qx_low,qx_mid,qx_high,lx_base,dx_base,Lx_base,Tx_base,ex_base,lx_low,dx_low,Lx_low,Tx_low,ex_low,lx_mid,dx_mid,Lx_mid,Tx_mid,ex_mid,lx_high,dx_high,Lx_high,Tx_high,ex_high,DIF_LOW,DIF_MID,DIF_HIGH
5,310750,NOR,25,2.09,15,4,34,0.0769946991,0.1038779966,0.0404557436,20.674270517,28.6961765461,14.7725655501,0.0037241797255525384,5,8.045052292839903e-5,8.049846088142305e-5,8.0630290252239065e-005,8.08579955291031e-5,8.043169298257608e-5,8.047960849119082e-5,8.061137607096688e-5,8.083897437978477e-5,99746.36481588786,8.022768990999522,498708.4778216755,8265693.5996164745,82.86711615880255,99746.32331001712,8.02754504842592,498708.25639399467,8265597.291654403,82.86618511205137,99746.2091690154,8.040679178976825,498707.6474686662,8265332.515626745,82.86362543985523,99746.0120168695,8.063365309917417,498706.5956912956,8264875.41985828,82.85920662633094,-9.310467511767229e-4,-0.0034907189473187827,-0.007909532471600755
10,308183,NOR,21,2.67,15,4,34,0.0871788251,0.1174197803,0.0419484972,20.674270517,28.6961765461,14.7725655501,0.00421677877477296,5,6.81413316114127e-5,6.819606245347437e-5,6.834657226914396e-5,6.86065437689369e-5,6.813051457712379e-5,6.818522803719213e-5,6.833568998043898e-5,6.859557854297823e-5,99738.34204689687,6.795224566724266,498675.8773612438,7766985.121794799,77.87361372161942,99738.29576496869,6.800678440775304,498675.6332440764,7766889.035260408,77.87268647103143,99738.16848983643,6.81567656113825,498674.9619227947,7766624.86815808,77.87013723787717,99737.94865155958,6.841582290443585,498673.8023710612,7766168.824166984,77.86573645402066,-9.272505879920345e-4,-0.003476483742247183,-0.007877267598757953
15,325805,NOR,68,2.85,15,4,34,0.2093698627,0.28334060980000003,0.1352259996,20.674270517,28.6961765461,14.7725655501,0.010127073771615773,5,2.0871380120010435e-4,2.0883813414492247e-4,2.0918004974317223e-4,2.0977063123105825e-4,2.0862018608920597e-4,2.0874440749088928e-4,2.0908601600323168e-4,2.096760658875634e-4,99731.54682233014,20.806013857038874,498613.00118185807,7268309.244433555,72.87873773162177,99731.49508652791,20.818391850017804,498612.71589016204,7268213.402016332,72.87781453301555,99731.3528132753,20.852431230340425,498611.9313392312,7267949.906235285,72.87527644233303,99731.10706926914,20.911226176895717,498610.5762100654,7267495.021795923,72.87089490291348,-9.231986062161468e-4,-0.0034612892887366797,-0.00784282870829145
20,342428,NOR,135,2.66,15,4,34,0.2672255733,0.3657760635,0.1727969937,20.674270517,28.6961765461,14.7725655501,0.01292551401415911,5,3.9424346139918466e-4,3.943944480476381e-4,3.948096613308853e-4,3.9552684791103944e-4,3.938800953131479e-4,3.940308037140917e-4,3.944452512680892e-4,3.9516111332984013e-4,99710.7408084731,39.27407609338597,498461.802704307,6769696.243251697,67.89335018837238,99710.6766946779,39.28907807687988,498461.44703068957,6769600.68612617,67.89243549971314,99710.50038204495,39.33033337726262,498460.468930122,6769337.974896054,67.88992081033645,99710.19584309225,39.401591999692734,498458.77949018194,6768884.445585857,67.88557968773455,-9.146886592361625e-4,-0.003429378035932018,-0.007770500637832356
25,342336,NOR,160,2.55,15,4,34,0.3452065267,0.4713879161,0.1884231505,20.674270517,28.6961765461,14.7725655501,0.016697398170162484,5,4.6737707982800526e-4,4.675721793579427e-4,4.681087030652705e-4,4.6903542583247315e-4,4.668425106790224e-4,4.670371640755552e-4,4.6757245995761207e-4,4.684970586248593e-4,99671.4667323797,46.5308777724048,498243.3330113562,6271234.44054739,62.9190544309517,99671.38761660102,46.55024221193275,498242.88998958585,6271139.23909548,62.91814922069947,99671.1700486677,46.60349416650902,498241.67168263055,6270877.505965931,62.9156605957768,99670.79425109255,46.6954739374404,498239.56734431605,6270425.666095676,62.911364489572556,-9.052102522275618e-4,-0.0033938351748972195,-0.007689941379140919
30,341063,NOR,193,2.52,15,4,34,0.3483070485,0.4753845905,0.2244274572,20.674270517,28.6961765461,14.7725655501,0.016847368240325324,5,5.658778583428868e-4,5.660754449264837e-4,5.666188080313751e-4,5.675573443034602e-4,5.650848312375615e-4,5.65281864313016e-4,5.658237042762502e-4,5.6675960623257e-4,99624.9358546073,56.29654006445366,497985.06385367666,5772991.107536034,57.94725043498287,99624.83737438907,56.316113802875684,497984.5229097142,5772896.349105895,57.94635656378953,99624.56655450119,56.369941284783685,497983.0353181196,5772635.834283301,57.94389911975466,99624.09877715513,56.462914994215105,497980.46585658996,5772186.09875136,57.93965686618571,-8.938711933410559e-4,-0.003351315228208307,-0.00759356879716222
35,343328,NOR,250,2.72,15,4,34,0.38393968,0.5152355197,0.2240776713,20.674270517,28.6961765461,14.7725655501,0.018570893695344405,5,7.281666511324448e-4,7.283830144199756e-4,7.289780134606853e-4,7.300057390764567e-4,7.269597380618673e-4,7.271753846070487e-4,7.277684115110726e-4,7.287927269254404e-4,99568.63931454284,72.3823919552766,497678.1647190562,5275006.043682357,52.978589242525665,99568.52126058619,72.40377774242187,497677.52568967827,5274911.826196181,52.97770579911418,99568.1966132164,72.46258828622265,497675.76836478943,5274652.798965181,52.97527703002546,99567.63586216091,72.56416885350353,497672.73300581856,5274205.632894769,52.97108430088925,-8.834434114817213e-4,-0.0033122125002051916,-0.0075049416364123545
40,375806,NOR,345,2.71,15,4,34,0.41711818089999997,0.5654839652,0.2828547439,20.674270517,28.6961765461,14.7725655501,0.02017571457029223,5,9.180268542811983e-4,9.182416003424138e-4,9.188321520107565e-4,9.198521958015305e-4,9.161009522006405e-4,9.163147980828791e-4,9.169028731768223e-4,9.179186355096413e-4,99496.25692258756,91.14861570718203,497272.5542829684,4777327.878963301,48.01515179289881,99496.11748284377,91.1697648013224,497271.80865282385,4777234.300506502,48.014278560469926,99495.73402493018,91.2279243962954,497269.75817778334,4776977.030600392,48.01187787009489,99495.07169330741,91.32838044865468,497266.2164753097,4776532.899888951,48.00773363541631,-8.732324288871496e-4,-0.0032739228039204704,-0.007418157482504739
45,367228,NOR,577,2.72,15,4,34,0.635524607,0.8520337179999999,0.4370470696,20.674270517,28.6961765461,14.7725655501,0.030739880591067144,5,0.0015712309518882003,0.0015715657834434308,0.0015724865702203155,0.0015740770201076613,0.0015656222564301488,0.0015659547015569833,0.0015668689230478778,0.0015684480238867373,99405.10830688039,155.6308499681014,496670.7031964747,4280055.324680332,43.05669394239859,99404.94771804246,155.6636452370947,496669.82547907176,4279962.491853679,43.05582961517765,99404.50610053388,155.75383141984972,496667.4117670322,4279707.272422609,43.05345341280886,99403.74331285876,155.90960476599778,496663.2426654273,4279266.6834136415,43.049351471053505,-8.643272209383213e-4,-0.0032405295897319775,-0.007342471345083368
50,330455,NOR,912,2.68,15,4,34,0.7328245511,0.9701155067,0.5059757723,20.674270517,28.6961765461,14.7725655501,0.035446210810553845,5,0.002759831141910396,0.0027602602013685443,0.00276144011487845,0.002763478147304652,0.002742272894400483,0.002742696511390951,0.0027438614537938838,0.002745873612108862,99249.47745691228,272.1691518135023,495615.95485235413,3783384.6214838577,38.119944995442005,99249.28407280537,272.2106651845328,495614.89162079873,3783292.6663746065,38.11909276443074,99248.75226911403,272.32482568836025,495611.9677499732,3783039.8606555765,38.116749824701316,99247.83370809276,272.52200763802034,495606.9174827436,3782603.440748214,38.11270532990764,-8.522310112653031e-4,-0.0031951707406889795,-0.007239665534363837
55,311919,NOR,1297,2.6,15,4,34,0.8197457419,1.0920446039,0.5537123117,20.674270517,28.6961765461,14.7725655501,0.03965052799449156,5,0.004158130796777368,0.004158639268887044,0.004160037567188653,0.004162452809709613,0.004117044691996173,0.004117543164815352,0.004118913958856983,0.004121281672563454,98977.30830509879,407.49400178557573,493908.5559212086,3287768.666631504,33.21739823937135,98977.07340762083,407.5423720829765,493907.26534510497,3287677.7747538076,33.2165587601691,98976.42744342567,407.6753885945213,493903.7162845015,3287427.892905603,33.21425088599684,98975.31170045474,407.9051381473393,493897.58617072005,3286996.5232654703,33.21026695236332,-8.394792022485831e-4,-0.0031473533745085547,-0.007131287008029119
60,285285,NOR,1935,2.64,15,4,34,0.9284624412,1.2440988848,0.655676413,20.674270517,28.6961765461,14.7725655501,0.04490907867518448,5,0.006782690993217309,0.006783320666402723,0.00678505226766261,0.006788043215293325,0.006675829976443117,0.006676439964082912,0.006678117420891809,0.006681014814505728,98569.81430331322,658.0353210984899,491296.1081587737,2793860.110710295,28.343972548362455,98569.53103553785,658.0935562465758,491294.5543849473,2793770.5094087026,28.343144986673906,98568.75205483114,658.2537002529332,491290.2815415588,2793524.176621102,28.340869884069747,98567.4065623074,658.5303034701849,491282.9012953473,2793098.9370947503,28.336942550366782,-8.275616885491388e-4,-0.0031026642927081127,-0.007029997995672943
65,273975,NOR,3086,2.68,15,4,34,0.9795044299,1.3532094636,0.7185871255,20.674270517,28.6961765461,14.7725655501,0.047377943956696075,5,0.011263801441737385,0.011264493153666674,0.011266395361472215,0.011269680993136336,0.010976951531957015,0.010977608460462756,0.010979415003258821,0.010982535358761661,97911.77898221473,1074.7728522954587,487065.42189374816,2302564.0025515216,23.516721139034487,97911.43747929127,1074.833424448738,487063.57385173533,2302475.9550237553,23.51590390561613,97910.4983545782,1074.9999946108042,487058.4917853939,2302233.895079543,23.51365720499259,97908.8762588372,1075.2876954492997,487049.71384074364,2301816.0357994027,23.50977892662354,-8.172334183562668e-4,-0.0030639340418971983,-0.0069422124109479455
70,183473,NOR,3377,2.67,15,4,34,1.4735352487,2.0479240445999998,1.1061419263999999,20.674270517,28.6961765461,14.7725655501,0.07127386900971157,5,0.018405977991312075,0.018407531873769103,0.01841180505052594,0.018419185992196836,0.017649080771381376,0.017650509477946788,0.0176544383698525,0.017661224460997705,96837.00612991926,1709.0841428456986,480202.86459676584,1815498.5806577732,18.74798337137818,96836.60405484252,1709.2153976821783,480200.54839761317,1815412.38117202,18.7471710608922,96835.4983599674,1709.5763378099973,480194.1789327398,1815175.403294149,18.74493790021695,96833.58856338791,1710.1997429818941,480183.1774157917,1814766.3219586592,18.741083015535473,-8.123104859798502e-4,-0.0030454711612293295,-0.006900355842706318
75,134350,NOR,4324,2.66,15,4,34,2.567429201,3.5677692722,1.8916313093000001,20.674270517,28.6961765461,14.7725655501,0.12418475413141465,5,0.03218459248232229,0.032188289832649986,0.03219845754605114,0.03221601996010769,0.029930470492598504,0.029933668048653692,0.029942461062503145,0.029957648079079677,95127.92198707357,2847.223462056318,468977.1070341561,1335295.7160610075,14.036843107352368,95127.38865716035,2847.5116743987023,468973.7659677088,1335211.8327744068,14.036040005119007,95125.9220221574,2848.3042161831586,468964.5782449184,1334981.2243614094,14.033832166698538,95123.388820406,2849.6730063711852,468948.7092671215,1334583.1445428676,14.030021018937573,-8.031022333607751e-4,-0.0030109406538301187,-0.006822088414795147
80,220765,NOR,23516,13.89,15,4,34,10.2189170142,14.407984563,7.4806197517,20.674270517,28.6961765461,14.7725655501,0.4942818662354838,5,0.10652050823273616,0.10652946403399517,0.1065540924874574,0.10659663254343761,1,1,1,1,92280.69852501726,92280.69852501726,866318.6090268514,866318.6090268514,9.387863582241879,92279.87698276165,92279.87698276165,866238.0668066981,866238.0668066981,9.387074356075656,92277.61780597424,92277.61780597424,866016.6461164909,866016.6461164909,9.384904668187298,92273.71581403483,92273.71581403483,865634.435275746,865634.435275746,9.38115938693002,-7.892261662227895e-4,-0.00295891405458093,-0.006704195311858285
0,360195,POL,1583,0.14,313,52,561,0.125784028,0.1777250031,0.0720984803,23.0238666232,31.5227696197,15.8395256305,0.005463201731426541,1,0.004394841682977276,0.0043956303849027175,0.0043995890618746415,0.0044033505633652055,0.004378293642612529,0.004379076415740994,0.004383005318732389,0.004386738504545027,1e5,437.8293642612529,99623.46674673531,8663453.04315675,86.6345304315675,1e5,437.9076415740994,99623.39942824627,8663353.972143576,86.63353972143575,1e5,438.3005318732389,99623.06154258901,8662856.794695362,86.62856794695362,1e5,438.67385045450266,99622.74048860912,8662384.508812908,86.62384508812909,-9.907101317452316e-4,-0.005962484613874608,-0.010685343438410655
1,1633901,POL,277,1.59,313,52,561,0.0740182439,0.1142531336,0.0361567391,23.0238666232,31.5227696197,15.8395256305,0.0032148485357110053,4,1.695329153969549e-4,1.6963523011728188e-4,1.701487713096923e-4,1.7063673382202097e-4,1.6946367688937028e-4,1.695659080293749e-4,1.7007902895159027e-4,1.7056659095041174e-4,99562.17063573874,16.87217151501918,398208.0206096038,8563829.576410014,86.01489422867152,99562.0923584259,16.882336596060977,398207.6830025071,8563730.572715329,86.01396746349701,99561.69946812677,16.93335716630906,398205.9884817363,8563233.733152773,86.00931662375017,99561.3261495455,16.981835991830057,398204.3783734417,8562761.768324299,86.00489868387906,-9.267651745119565e-4,-0.005577604921356283,-0.00999554479246001
